Decision;Seniority;Home;Time;Age;Marital;Job;Expenses;Income;Assets;Debt;Amount;Price
1;9;rent;60;30;married;freelance;73;129;0;0;800;846
1;17;rent;60;58;widow;fulltime;48;131;0;0;1000;1658
0;10;owner;36;46;married;freelance;90;200;3000;0;2000;2985
1;0;rent;60;24;single;fulltime;63;182;2500;0;900;1325
1;0;rent;36;26;single;fulltime;46;107;0;0;310;910
1;1;owner;60;36;married;fulltime;75;214;3500;0;650;1645
1;29;owner;60;44;married;fulltime;75;125;10000;0;1600;1800
1;9;parents;12;27;single;fulltime;35;80;0;0;200;1093
1;0;owner;60;32;married;freelance;90;107;15000;0;1200;1957
0;0;parents;48;41;married;partime;90;80;0;0;1200;1468
1;6;owner;48;34;married;freelance;60;125;4000;0;1150;1577
1;7;owner;36;29;married;fulltime;60;121;3000;0;650;915
1;8;owner;60;30;married;fulltime;75;199;5000;2500;1500;1650
1;19;rent;36;37;married;fulltime;75;170;3500;260;600;940
0;0;other;18;21;single;partime;35;50;0;0;400;500
1;0;owner;24;68;married;fulltime;75;131;4162;0;900;1186
1;15;rent;24;52;single;freelance;35;330;16500;0;1500;2201
1;33;rent;24;68;married;freelance;65;200;5000;2000;600;1350
0;0;other;48;36;married;partime;45;130;750;0;1100;1511
1;1;parents;60;31;single;fulltime;35;137;0;0;1250;1253
0;2;rent;60;25;single;fulltime;46;107;0;0;1500;2189
1;5;owner;60;22;single;fulltime;45;324;10000;0;1100;1159
0;1;owner;60;45;married;partime;105;112;2000;500;600;1332
1;27;rent;60;41;married;fulltime;74;140;0;0;950;1497
1;26;owner;60;51;married;fulltime;45;143;3500;0;1350;1357
1;12;owner;36;54;married;fulltime;60;130;4000;0;700;2100
1;19;owner;60;43;single;fulltime;75;180;4000;0;1000;1070
1;15;owner;36;43;married;fulltime;75;251;4000;0;1800;2557
0;3;owner;24;23;married;fulltime;75;85;5000;0;600;1600
1;4;owner;48;29;married;fulltime;45;150;5000;3300;1100;1312
0;0;owner;36;23;single;partime;45;122;2500;0;400;400
1;14;rent;24;51;married;partime;75;198;1000;0;450;650
1;10;owner;36;39;married;freelance;75;150;3000;0;1000;1394
1;12;parents;36;35;single;fulltime;35;170;0;0;1100;1542
1;32;owner;24;62;married;freelance;45;119;8500;0;700;1200
1;10;owner;24;56;married;freelance;45;208;13500;0;500;1560
1;7;owner;48;32;married;fulltime;75;115;3000;0;800;1200
0;1;rent;54;36;married;fulltime;70;99;0;0;950;950
1;30;owner;60;64;married;fulltime;45;120;14000;0;1125;1300
0;5;rent;48;31;single;fulltime;44;90;0;0;1300;1700
1;24;owner;60;42;married;fulltime;75;137;4000;0;900;1167
1;0;owner;60;61;widow;others;35;230;50000;0;950;1150
0;0;owner;60;32;married;fulltime;45;142;7000;3000;1250;1566
0;2;owner;60;43;married;partime;75;71;3000;0;1500;1552
1;1;parents;60;26;single;partime;35;120;0;0;1150;1300
1;1;owner;60;49;widow;freelance;35;233;15900;4500;2100;2104
1;15;owner;36;47;married;fulltime;75;289;3500;0;1500;2154
0;2;rent;36;27;separated;fulltime;48;128;0;0;450;545
1;25;owner;36;52;married;freelance;60;150;15000;0;750;1778
1;8;owner;60;28;married;fulltime;60;145;4000;1000;1600;1718
1;5;owner;60;31;married;fulltime;75;90;4000;0;900;1500
1;0;rent;60;32;married;fulltime;105;301;0;0;1200;1274
1;5;owner;36;51;married;freelance;75;200;2100;1200;900;1015
1;3;parents;12;37;married;freelance;60;150;500;0;500;1701
0;1;rent;48;29;married;freelance;85;100;0;0;1000;1345
1;7;parents;60;26;single;fulltime;35;100;0;0;1000;1238
1;4;parents;30;27;single;fulltime;45;100;5000;0;500;1048
1;6;owner;24;63;married;fulltime;60;155;4000;0;600;1048
1;14;owner;24;55;married;fulltime;90;715;5000;0;800;1324
1;3;rent;60;28;married;fulltime;70;245;0;0;1830;2201
1;8;rent;48;31;married;fulltime;90;150;0;0;1100;1430
0;4;parents;42;27;single;fulltime;35;70;0;0;600;926
1;22;owner;24;40;married;fulltime;75;190;3000;0;1000;1500
1;2;owner;36;35;married;fulltime;75;152;3000;0;1000;1542
1;15;rent;60;43;married;fulltime;75;126;3000;0;1350;1360
1;10;owner;18;34;married;freelance;75;181;4000;0;600;1000
1;4;owner;60;37;married;fulltime;60;185;3000;0;1200;1564
1;9;owner;60;53;married;fulltime;45;170;2500;0;850;1205
1;22;rent;60;46;married;fulltime;93;176;7500;0;2000;2200
1;18;parents;36;36;married;freelance;60;238;0;0;900;2214
1;1;rent;60;46;married;fulltime;60;115;5500;800;1000;1137
1;14;owner;48;43;married;fulltime;45;200;9000;0;600;1025
1;8;owner;36;31;married;freelance;75;411;9000;4000;800;1593
1;5;owner;24;43;married;fulltime;75;93;3000;0;700;1735
1;19;rent;60;38;married;fulltime;86;108;0;0;1000;1132
1;14;owner;12;37;married;freelance;90;500;4000;0;500;1338
1;0;other;36;46;married;others;45;45;0;0;900;1100
1;9;rent;36;55;married;fulltime;70;250;30000;0;1750;2276
1;29;owner;48;56;married;fulltime;45;100;3000;0;900;1360
1;10;owner;36;55;married;fulltime;60;70;4000;0;1000;1436
1;10;parents;36;52;married;fulltime;60;150;0;0;550;612
0;1;owner;36;29;married;fulltime;60;70;4500;0;850;1100
1;11;owner;60;39;divorced;fulltime;35;263;2500;0;1000;1300
1;10;owner;60;38;married;freelance;75;200;9000;0;1000;2089
1;5;owner;24;24;single;fulltime;35;78;6000;3000;500;2262
1;10;rent;60;28;single;fulltime;47;120;0;0;600;1054
1;27;owner;60;53;married;fulltime;60;125;10000;0;1426;1426
0;0;rent;60;25;single;partime;40;50;0;0;1040;1048
0;25;rent;60;62;married;fulltime;60;146;0;0;1000;1292
1;3;parents;60;29;single;fulltime;35;70;0;0;950;1177
0;9;parents;60;32;single;fulltime;35;105;0;0;1490;1490
1;4;rent;36;21;married;freelance;101;413;6000;0;750;850
1;6;rent;36;38;married;freelance;95;500;25000;21400;800;1011
1;9;rent;48;56;married;freelance;140;350;0;0;1400;1571
1;3;owner;36;41;married;freelance;75;200;3000;0;1000;1000
