Date;Title;Text;Source
18/09/2018;France's Lactalis gets go-ahead to reopen plant after tainted milk scandal;"PARIS, Sept 18 (Reuters) -
French authorities have given
dairy giant Lactalis permission
to resume selling baby milk from a factory
that was closed after salmonella contaminated
milk produced there infected
dozens of babies, the government
said on Tuesday.
Lactalis, one of the world’s largest dairy
groups, had to recall 12 million tins in
France and around the world because of
the contamination, in a scandal that hit
the reputation of France's agri-business
industry.
""Conditions are now met to allow the
sale of infant milk powder,"" the Agriculture
Ministry said in a statement.
The decision comes days after Lactalis
agreed to buy the infant formula business
of South African drugmaker Aspen
Pharmacare for 12.9 billion rand ($865
million) in an effort to revive its baby
milk expansion after the scandal.
Lactalis has carried out tests at the plant
in the northwestern town of Craon for
more than three months under the supervision
of French health authorities,
which will carry out regular, unannounced
inspections at the plant in the
future.
Privately owned Lactalis, which has
said the crisis could cost it hundreds of
million of euros, had said that the production
line linked to the contamination
would be closed permanently but it was
awaiting permission from French authorities
to restart output at its other production
line.
Lactalis could not immediately be
reached for comment on Tuesday.
Foodwatch, a non-profit organization
that sued on behalf of victims, said the
reopening of the factory is ""hasty and
unacceptable."" (Reporting by Inti Landauro:
Editing by Adrian Croft)";Reuters
13/09/2018;"Drugmaker Aspen sells baby milk business to dairy giant
Lactalis";"By Nqobile Dludla
* Aspen says will reduce
debt, focus on pharmaceuticals
* Shares slide 16 pct as sale price disappoints
* Lactalis seeks global reach in infant
formula
* Dairy group's baby milk output halted
by French contamination (Adds Aspen,
Lactalis and analyst comment: updates
share price)
By Nqobile Dludla
JOHANNESBURG, Sept 13 (Reuters) -
Aspen Pharmacare has agreed to sell its
infant formula business to Lactalis for
12.9 billion rand ($865 million) to focus
on core activities while the French buyer
looks to revive its baby milk expansion
after a health scandal.
Investors in the South African drugmaker
appeared unimpressed, however, after
expectations that the deal could top $1
billion. The company's share price tumbled
after the deal's announcement on
Thursday alongside full-year earnings,
dropping 26 percent before paring losses
to stand 16.3 percent down at 228.06
rand by 1430 GMT.
Rising incomes in emerging markets
coupled with global population growth
have made infant formula an attractive
proposition in a market dominated by
Nestle, Danone and Reckitt Benckiser,
which acquired Mead Johnson of the
United States last year.
""The market expected Aspen to get $1
billion to $1.5 billion dollars,"" Cratos
Capital equity trader Greg Davies said,
adding that there is also some doubt
over Aspen's stated growth expectations.
FNB Wealth and Investments portfolio
manager Wayne McCurrie said a ""second
disappointment"" concerned Aspen's
rising debt levels and whether Africa's
biggest manufacturer of generic drugs
had been forced to sell the infant milk
business to reduce gearing levels.
""The market is worried that they took
a decision just on debt and not on the
growth prospects of the business, because
this business looked quite good,""
McCurrie said.
""They were pumping it massively over
the last year or so and all of a sudden say
they are selling it.""
Aspen CEO Stephen Saad said the disposal
was in line with ""our strategic intention
to focus attention on our core
pharmaceutical business, which includes the anesthetics, thrombosis and
high potency and cytotoxic portfolios.""
After 1.1 billion rand to be paid to partners
in Asia-Pacific, Aspen will receive
11.8 billion rand, representing 23 times
the unit's earnings of 512 million rand,
Deputy Chief Executive Gus Attridge
said.
CHANCE TO REBUILD
For Lactalis, meanwhile, the deal represents
an opportunity to rebuild its baby
milk business after a salmonella outbreak
at its production site in northwest
France caused dozens of babies to fall
sick and led to a global product recall.
Lactalis is the world's largest dairy firm,
with annual sales of 18.4 billion euros
($21.4 billion), but baby milk has been
a relatively small part of its activities
and is now at a standstill after the health
scare.
The company's head of communications,
Michel Nalet, said the production
halt in France was ""one of the factors""
behind the move for the Aspen business
""In infant formula, we didn't have a base
outside France. We had the desire to be
a global player in all dairy businesses,""
he said.
Aspen's nutritionals business sells infant
milk formula in the Asia-Pacific region,
sub-Saharan Africa and Latin America,
and has been building a growing presence
in the Middle East and China.
Privately owned Lactalis, which said the
crisis could cost it hundreds of million
of euros, decided the production line
linked to the contamination should be
closed permanently and is now awaiting
permission from French authorities to
restart output at its other production
line.
The acquisition will be funded with
cash, Aspen said, adding that the proceeds
will reduce its debt and that the
deal is expected to close in the next six
months.
Lactalis will also receive any intellectual
property and goodwill presently
owned by Aspen Holdings and Pharmacare
Ltd and Aspen Global Incorporated.
Aspen's infant formula business contributed
3.1 billion rand to group revenue
in the year to June 30.
The drugmaker posted full-year normalized
earnings before interest, tax, depreciation
and amortization of 12 billion
rand, up 5 percent, helped by strong
growth in China, inclusion of anesthetics
portfolios acquired the previous year
and positive organic growth in commercial
pharmaceuticals.
Aspen declared a dividend of 315 cents
per share, up 10 percent. ($1 = 0.8601
euros) ($1 = 14.9147 rand)";Reuters
13/09/2018;Lactalis says Aspen deal to boost overseas business;"PARIS, Sept 13 (Reuters) - Privately
held French dairy group
Lactalis said on Thursday its
takeover of Aspen's global infant formula
business would boost its presence in
Latin America, Africa, Australia and
Asia.
Aspen said earlier on Thursday that it
was selling the business to Lactalis for
12.9 billion rand ($864.5 million).
Lactalis said the acquisition should take
effect during the first quarter of 2019,
following approval from regulatory authorities.
Lactalis was at the center of a health crisis
when a salmonella outbreak at a Lactalis
milk factory last year led to dozens
of babies falling ill. (Reporting by Sudip
Kar-Gupta: editing by Jason Neely)";Reuters
18/07/2018;"France needs ""food safety police"" to avoid new Lactalis crisis -report";"PARIS, July 18 (Reuters) -
France should appoint a ""food
safety police"" and increase
fines on those who sell contaminated
products to avoid a repeat of the salmonella
outbreak at a Lactalis milk factory
last year that led to dozens of babies
falling ill, lawmakers said.
Lactalis, the world's largest dairy group,
had to recall more than 12 million tins
of baby milk in France and around the
world due to the outbreak, in a scandal
that hit the reputation of France's strategic
agri-business industry in overseas
markets.
France's National Assembly launched a
special enquiry into the scandal, which
deepened when errors in the massive
product recall left some potentially contaminated
baby milk on shop shelves.
In their findings, lawmakers recommended
tougher judicial and financial
sanctions against food makers in case
they sell a contaminated product.
""Those who do not play by the rules
must suffer the consequences: criminal
and financial sanctions that will be
much more important than the current
ones,"" said Gregory Besson-Moreau,
head of the committee.
The sanctions would be in relation to
company turnover, rather than be fixed
amounts, he said.
He also suggested imposing a fee on
food producers to finance state-run inspections,
something that has been allowed
by the European Union.
This could raise 270 million euros per
year, and lead to the creation of 800 jobs
in a new ""food safety police"" reporting
to the farm minister, he said.
Farmers would be excluded from the additional
tax.
Food inspections in France are currently
split between three administrations -
economy, food and health -, which has
created gaps and confusions in previous
crises.
Between early April and mid-June the
enquiry committee into the Lactalis affair
held 35 hearings, questioning the
ministers involved, Lactalis Chief Executive
Emmanuel Besnier, CEOs and senior
managers of France's biggest retail
chains, unions and inspection officials.
Lactalis declined to comment on the report
but said it would respect any new
regulations.
Improved checks and consumer information
were also necessary given a risk
of ""food terrorism"" - deliberate contamination
or poisoning - the French lawmakers
said.
In a separate report handed to Economy
Minister Bruno Le Maire on Tuesday, a consumer affairs body stressed the need
to review the product recall process in
France.
Le Maire took up their proposal to use
clients' bank details to identify and contact
people who bought suspicious products
and agreed to create a system that
would bloc recalled products at checkouts.
He also announced the launch of a single
internet website to gather information
in case of a health crisis. (Reporting
by Elizabeth Pineau, Sybille de La
Hamaide and Gus Trompiz Editing by
Alexandra Hudson)";Reuters
07/06/2018;Grilled by French MPs, Lactalis defends handling of baby milk crisis;"* CEO appears before French parliamentary
hearing
* Says group took all steps once salmonella
outbreak known
* Lawmakers criticise firm's secrecy in
tense exchange
By Sybille de La Hamaide and Gus
Trompiz
PARIS, June 7 (Reuters) - The contamination
of baby milk with salmonella at a
Lactalis factory in France last year was
an accident and the dairy group took the
necessary steps to prevent more babies
falling ill, the company's CEO told lawmakers
in a rare public appearance.
Lactalis, the world's largest dairy group,
recalled millions of tins of baby milk in
France and around the world, and halted
production at its Craon plant in northwest
France after dozens of babies fell
ill last year due to drinking salmonellacontaminated
milk.
The scandal, which deepened when errors
in the massive product recall left
some potentially contaminated baby
milk on shop shelves, fuelled criticism
of poor communication by Lactalis,
which is privately held by the Besnier
family.
In a sometimes tense exchange with
members of a parliamentary committee
investigating the contamination, softly
spoken Chief Executive Emmanuel
Besnier apologised for the distress
caused to families but defended his
group's safety record.
""Regarding the handling of the crisis,
I think at each stage we took the necessary
measures to ensure that no baby
would fall ill in relation to our products,""
Besnier, said on Thursday to the
committee of lawmakers from France's
National Assembly.
Lactalis reiterated previous comments
that tests of its products had not shown
any salmonella prior to the recall and
that the contamination was linked to
work in the factory that released bacteria
hidden in the structure of the building.
""It was an accident, no one is responsible
for this at the factory,"" Besnier, 47,
who appeared alongside four other senior
Lactalis managers, said.
The cases of babies falling sick were all
before the start of the product recall on
Dec. 2, 2017, which Lactalis triggered
as soon as it was informed by the authorities
of a link to its Craon factory, he
said. ""It is not the contamination that is on a
large scale, it is the product recall,"" he
said.
The CEO's comments irritated several
lawmakers who said the group failed to
explain fully the events and had understated
the seriousness of the crisis.
""When you feed many of the world's
children it is your duty to communicate,""
Gregory Besson-Moreau, the parliamentary
committee's rapporteur, said
after the hearing.
""You can't change a culture of secrecy
within a few weeks. I hope they are going
to try harder.""
The parliamentary committee is due to
publish a report in July. A separate judicial
inquiry is also continuing into the
salmonella outbreak.
Lactalis said last week it was testing
production again at its Craon plant with
a view to restarting output.
The group has permanently closed the
production line linked to the salmonella
outbreak. It has also said it will now use
two external testing firms for products
made at Craon, after tests by its existing
partner failed to detect last year's contamination.
In February, Besnier said Lactalis could
have been producing salmonella-tainted
baby milk at Craon since 2005. The crisis
was likely to cost the company hundreds
of millions of euros, he said.";Reuters
07/06/2018;Accident' caused global baby milk scare, says French company;"Paris (AFP) - The head of the
French company at the centre
of an international baby milk
scandal denied Thursday that it was responsible
for the contamination that
triggered a recall of formula in over 80
countries, calling it ""an accident"".
Lactalis, one of the world's biggest dairy
groups, was forced to recall 12 million
packages of powdered baby milk in 83
countries in December and January after
being linked to an outbreak of salmonella
poisoning in children.
French officials began investigating the
company after at least 36 infants fell
sick from drinking milk sold under the
Picot or Milumel brands. Cases of suspected
contamination were also reported
among children in Spain and Greece.
The outbreak was traced to a Lactalis
factory in Craon, western France.
CEO Emmanuel Besnier told a French
parliamentary inquiry that a renovation
of the plant in early 2017 ""released salmonella
which was inside the buildings"".
""It was an accident. Nobody inside the
factory was responsible,"" he told lawmakers.
Lactalis has come in for heavy criticism
after it emerged that the company's own
tests found salmonella on a production
line but that it did not report the finding
FRANCOIS GUILLOT
CEO of Lactalis Emmanuel Besnier arrives
to face an inquiry commission at the French
national Assembly, in Paris
because the bacteria was not found in
the milk itself.
The company is facing several lawsuits
over the outbreak.
Salmonella causes fever and diarrhoea
in infants, along with vomiting in some
cases, which can lead to babies being
hospitalised for dehydration.
According to French health authorities,
all of the babies sickened by the Lactalis
milk made a good recovery.
Production at the Lactalis plant has been
suspended over the scare.
Researchers from the Pasteur Institute in
Paris have since said they suspect the
factory of being behind at least 25 other
cases of salmonella poisoning between
2006 and 2016.
Lactalis has shut down the milk evaporation
tower to which the 2017 outbreak
was traced but is hoping to reopen the
rest of the plant in the coming weeks. Besnier said the company had reviewed
its ""entire sanitary inspection process""
across all its sites.";AFP
31/05/2018;France's Lactalis tests plant after tainted milk scandal;"PARIS, May 31 (Reuters) - Lactalis
is testing production at its
Craon plant in northwest
France that had been halted because
dozens of babies were found ill last year
after drinking salmonella-contaminated
milk produced at the factory, the company
said on Thursday.
Lactalis, one of the world's largest dairy
groups, had to recall 12 million tins in
France and around the world due to the
contamination, in a scandal that hit the
reputation of France's strategic agribusiness
industry in overseas markets.
""The tower number 2 has resumed since
Sunday for test phases. We want to
check, control, inspect, analyze to make
sure that everything is compliant,"" a
Lactalis spokeswoman said.
""Since Sunday the results have been
compliant, which is a rather positive
step,"" he said.
The plant had been halted since December
after discovering the contamination
in baby milk produced in the production
tower number 1, which the group permanently
shut due to the outbreak.
None of the products made at the plant
will be sold on the market before farm
ministry approval, the spokeswoman
said. Output is limited to powder milk
for adults for the moment.
More than 200 babies in France have
been contaminated with Salmonella Agona
since 2005, including 38 between
mid-August and December last year, as
well as 25 between 2006 and 2017 and
141 in 2005, said the Institut Pasteur,
a French organization that monitors
micro-organisms and diseases.
Lactalis CEO Emmanuel Besnier said in
February that Lactalis could have been
producing salmonella-tainted baby milk
at the factory in Craon since 2005.
The crisis was likely to cost the company
hundreds of millions of euros, he
said.
It also hit French supermarket chains
such as Leclerc, Auchan, Carrefour, and
Systeme U which have all acknowledged
that some of the baby milk remained
on their shelves after the recall.
(Reporting by Pierre-Henri Allain and
Sybille de La Hamaide Editing by Edmund
Blair)";Reuters
14/02/2018;"French retailers say they continued to receive Lactalis baby milk after
recall";"PARIS, Feb 14 (Reuters) -
French retailers, defending
their role in a contaminated baby
milk scandal on Wednesday, said
they had received products after the recall
deadline and that communication by
dairy producer Lactalis was confusing.
Lactalis, one of the world's largest dairy
groups, recalled 12 million tins in
France and around the world after babies
were taken ill last year after drinking
salmonella-contaminated milk produced
at a factory in western France.
Representatives from retailers Carrefour,
Casino , Leclerc, Intermarche,
Auchan, Systeme U and Cora, speaking
at a hearing of the French Senate's Economic
Affairs Committee on the health
scare on Wednesday, did however admit
to some responsibility for products remaining
on their store shelves.
Several families and consumer associations
have filed complaints against Lactalis
and retailers over the scandal,
which also threatens to damage the reputation
of France's strategic agribusiness
industry in overseas markets.
Retailers said Lactalis had delivered recalled
products after the date when they
should have been removed from the
market.
Auchan's Secretary General Franck
Geretzhuber said that after the Dec. 21
recall, Auchan received a delivery of the
Lactalis products affected by the recall
on Dec. 29 while Dufort said Lactalis
products were delivered to Carrefour on
Dec. 14 even though they had been recalled
on Dec. 10.
Lactalis was not immediately available
to comment.
Some of the retailers, including Carrefour,
Leclerc and Auchan admitted to
human errors after some Lactalis products
that had been returned by clients
found their way back on to store shelves.
All retailers however pointed to confused
and slow communication from
Lactalis.
""Our processes were robust but destabilised
by the erratic communication of
our supplier, who multiplied unclear
messages,"" Casino's head of external
communications Claude Risac said.
Leclerc, Auchan, Carrefour, Casino and
Systeme U have all acknowledged that
some of the baby milk remained on their
shelves after the recall that began in early
December.
Two complaints by families are already
targeting Auchan and Leclerc. ""At Carrefour, the fault comes from
poor management of the products returned
to the stores by clients,"" Carrefour's
head of quality Stephane Dufort
told the committee.
Salmonella infections can be lifethreatening
and the families of three
dozen children who have fallen sick in
France as a result of the contaminated
baby milk have announced a raft of lawsuits.
Lactalis CEO Emmanuel Besnier said
earlier this month that Lactalis could
have been producing salmonella-tainted
baby milk at the factory in Craon since
2005. He said the crisis was likely to
cost the company hundreds of millions
of euros.";Reuters
13/02/2018;Lactalis failed to report salmonella on a product -govt official;"PARIS, Feb 13 (Reuters) -
French dairy group Lactalis,
which is facing a growing
scandal over salmonella-tainted baby
milk, did not report the bacteria had
been found on products in the same factory
in 2011 despite an obligation to do
so, a government official said on Tuesday.
Dozens of babies fell ill after drinking
baby milk contaminated with so-called
Salmonella Agona produced by Lactalis,
one of the world's largest dairy
groups, prompting the recall of 12 million
tins.
""There has been a lag between elements
given to inspection services and the selfchecks
that we have been able to recover
as part of the crisis,"" the head of the
French government's food department,
Patrick Dehaumont, told a Senate commission.
""Salmonella Agona had been found in
2009, 2014, one on products in 2011 and
other serotype in 2013 and 2014,"" he
added.
Lactalis Chief Executive Emmanuel
Besnier said earlier this month in an interview
that Salmonella Agona had been
found in the environment between 2005
and 2017, so it could not be excluded
that babies had consumed contaminated
milk over that period.
The company had made no public reference
to positive tests on products.
Lactalis spokesman Michel Nalet declined
to comment.
Companies in France must report to the
authorities tests that show salmonella in
a product. They are under no obligation
to do so for tests showing the bacteria
in the environment but must provide the
results if asked to do so.
Asked to confirm that positive Lactalis
self-checks had not been handed to the
authorities, he replied: ""That's it"".
""What's unfortunate, is that there was
no questioning by the company about
the fact that it was still amazing to find
a Salmonella Agona several times over
the years after it was found in 2005,""
Dehaumont said.
More than 200 babies in France have
been contaminated with Salmonella Agona
since 2005, including 38 between
mid-August and December last year, as
well as 25 between 2006 and 2017 and
141 in 2005, said the Institut Pasteur,
a French organisation that monitors
micro-organisms and diseases.";Reuters
03/02/2018;Second baby hit by salmonella from Lactalis milk in Spain;"Madrid (AFP) - A baby who
drank milk produced by
the French dairy giant
Lactalis has been diagnosed with salmonella
in the Spanish Basque country, taking
the number of cases in the country
this year to two, authorities said Saturday.
""A second case of an infant affected by
an infection with salmonella Agona""
was detected at the Basurto University
Hospital in Bilbao, the Department of
Health of the Basque regional government
said in a statement.
Lactalis has been engulfed in scandal
since December when authorities ordered
a massive international recall of
the baby milk which made at least 38
babies ill in France and Spain.
The statement said the child consumed
""formula milk developed by the French
group Lactalis"", adding the baby was in
""good"" state of health, was under medical
surveillance but not in hospital.
Another baby who had consumed contaminated
Lactalis infant milk had already
been identified in the Basque region.
His infection with salmonella was
confirmed on January 12 by scientists
at the Pasteur Institut and Public Health
France.
Lactalis announced a few days later the
withdrawal in Spain of 37 additional
JEAN-FRANCOIS MONIER
Lactalis has been engulfed in scandal since
December when authorities ordered a
massive international recall of baby milk
batches of infant food products potentially
contaminated with salmonella.
In December it withdrew all products
manufactured from February 15, 2017
at the Craon plant in western France,
where salmonella contamination had
been detected.
The products concerned in Spain are
mainly powdered milk and cereals of the
Damira, Sanutri and Puleva brands, sold
exclusively in pharmacies.
Lactalis has been the target of heavy
criticism after it emerged that the company's
own tests found salmonella at the
factory in Craon, but it did not sound
the alarm because it had not detected the
bacteria in the milk itself.
The company is facing several lawsuits
over the outbreak, and police raided the
group's headquarters in Laval, western
France, earlier this year.It recalled 12 million packages of the affected
baby milk, under brands including
Picot, Milumel and Celia, across 83
countries.
Salmonella causes fever and diarrhoea
in infants, along with vomiting in some
cases, which can lead to babies being
hospitalised for dehydration.
According to French health authorities,
all of the babies sickened by salmonellatainted
milk made a good recovery.";AFP
