;dept;distTlse;distTrain;price;lifts;makers;altitude;domain;runs;nbBlackruns;nbRedruns;nbBlueruns;nbGreenruns;activities;snowboard;sleigh;cross;pool;cinema;discot;gliding;casino;museum;horse;snowshoe;iceskate;fitness;smobile
Arette La Pierre Saint Martin;64;256;40;20;16;0;2100;31;19;1;5;8;5;6;0;1;1;0;1;1;0;0;0;0;1;0;0;1
Artouste Fabreges;64;236;60;17,5;10;2;2100;21;13;1;4;6;2;5;1;0;1;0;1;0;1;0;0;0;1;0;0;0
Ascou Pailheres;9;125;12;15;6;10;2000;15;15;2;6;4;3;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0
Baqueira Beret;1;166;0;33;27;503;2500;88;53;4;20;25;4;8;1;0;1;1;0;1;1;0;0;1;1;1;0;0
Bareges La Mongie;65;175;25;25;48;128;2500;100;68;4;25;18;21;11;1;1;0;1;1;1;1;0;0;1;1;1;1;1
Boi Taul;1;150;0;24,5;15;151;2750;43,3;40;8;19;5;8;7;1;0;1;1;0;1;1;0;0;0;1;0;1;0
Bonascre (AX);9;127;8;24;17;80;2400;75;23;2;11;5;5;8;1;1;0;0;1;1;1;1;0;0;1;0;1;0
Camurac;11;147;30;12;7;15;1800;15;15;3;2;8;2;4;0;0;0;0;0;1;1;0;0;1;1;0;0;0
Cauterets;65;217;20;20,6;16;2;2500;36;23;2;7;9;5;12;1;1;1;1;1;1;1;1;1;0;1;1;1;0
Espac Cambre d'Aze;66;193;5;19;17;162;2400;35;25;2;7;4;12;6;1;1;0;0;0;0;1;0;1;1;1;0;0;0
Font Romeu;66;183;3;22;29;460;2250;52;40;6;8;11;15;12;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Formiguères;66;175;15;20;7;23;2400;25;17;1;7;6;3;7;1;1;1;1;0;0;0;0;0;1;1;1;0;0
Gavarnie;65;220;50;16,5;11;3;2400;40;22;3;6;5;8;5;0;1;1;1;0;0;0;0;0;0;1;1;0;0
Goulier Neige;9;130;17;10,7;3;1;2000;5;6;0;2;2;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Gourette;64;250;45;24;19;86;2400;30;28;1;12;7;8;10;1;1;1;1;1;1;1;1;0;0;1;0;1;0
Guzet;9;140;44;20;19;59;2100;40;34;6;10;8;10;10;1;1;1;1;0;1;1;0;0;1;1;1;1;0
Hautacam;65;189;25;13;11;0;1800;26;18;0;3;8;7;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
La Quillane;66;196;4;13,5;2;7;1800;2,5;3;0;0;1;2;5;0;0;1;0;0;0;1;0;0;1;1;0;0;1
Le Mourtis;31;125;14;15;9;0;1860;15;22;3;6;5;8;7;0;1;1;0;0;1;1;0;0;1;1;0;0;1
Les Angles;66;178;12;24;21;202;2400;40;32;2;17;5;8;11;1;1;1;1;1;1;1;0;0;1;1;1;1;0
Les Monts D'Olmes;9;140;40;16;13;75;2000;19;23;2;9;4;8;3;1;0;0;0;0;0;1;0;0;0;1;0;0;0
Luchon-Superbagnères;31;140;0;22,8;15;100;2260;30;24;6;6;9;3;13;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Luz Ardiden;65;200;30;21,5;15;70;2450;60;34;5;19;5;5;10;1;1;1;1;1;1;1;0;0;0;1;1;1;0
Mijanes Donezan;9;155;40;12;5;15;2000;9;10;1;2;4;3;5;0;0;1;1;1;0;1;0;0;0;1;0;0;0
Ordino;2;210;0;22,87;14;26;2620;26;24;2;8;8;6;7;1;0;1;1;1;1;0;0;1;0;0;0;1;0
Pal Arinsal;2;210;0;26,5;30;350;2360;63;41;5;16;16;4;7;1;0;0;0;0;1;1;0;0;1;1;1;0;1
Pas de la Case;2;140;0;32;31;427;2640;100;55;13;23;8;11;5;1;0;0;0;0;1;0;0;0;1;0;1;0;1
Peyragudes;65;160;14;24;17;70;2400;45;38;3;14;17;4;8;1;1;1;1;0;0;1;0;0;1;1;0;0;1
Piau Engaly;65;180;55;22;20;21;2500;60;37;8;8;14;7;8;1;1;1;0;1;1;0;0;0;1;1;0;0;1
Porte Puymorens;66;160;0;19;13;17;2500;45;17;3;4;5;5;8;1;0;1;1;0;0;1;0;0;0;1;1;1;1
Puigmal 2600;66;175;7;18;8;10;2600;30;25;7;11;4;3;3;1;0;0;0;0;0;1;0;0;0;1;0;0;0
Puyvalador;66;171;25;19;9;63;2400;30;16;2;6;6;2;4;1;1;1;0;0;0;0;0;0;0;1;0;0;0
Pyrénées 2000;66;185;3;22;29;460;2200;52;40;6;9;9;16;11;1;1;1;1;0;1;1;0;0;1;1;1;1;1
Saint Lary Soulan;65;150;35;26,6;34;185;2400;93;51;6;12;25;8;13;1;1;1;1;1;1;1;0;1;1;1;1;1;1
Soldeu;2;140;0;29,5;31;420;2760;88;52;10;13;19;10;8;1;0;0;1;0;1;0;0;0;1;1;1;1;1
Val Louron;65;154;40;13,72;11;15;2450;25;17;1;6;5;5;5;1;0;0;0;1;0;1;0;0;0;1;0;1;0
