Class;Name;Title;Sex;Age;Hometown;Boarded;Home country;Destination;Position;Station;Survived;Lifeboat;Body
1;Allen, Miss Elizabeth Walton;Miss;Female;29;St Louis, Missouri, US;Southampton;;St Louis, Missouri, US;;;1;2;
1;Allison, Mr. Hudson Joshua Creighton;Mr;Male;30;Montreal, Quebec, Canada;Southampton;;Montreal, Quebec, Canada;;;0;;135MB
1;and chauffeur, Mr. George Swane,[55];Mr;Male;19;Montreal, Quebec, Canada;Southampton;;Montreal, Quebec, Canada;;;0;;294MB
1;"and cook, Miss Amelia Mary ""Mildred"" Brown[55]";Miss;Female;18;London, England, UK;Southampton;;Montreal, Quebec, Canada;;;1;11;
1;Allison, Mrs. Bessie Waldo (née Daniels);Mr;Female;25;Montreal, Quebec, Canada;Southampton;;Montreal, Quebec, Canada;;;0;;
1;and maid, Miss Sarah Daniels;Miss;Female;33;Montreal, Quebec, Canada;Southampton;;Montreal, Quebec, Canada;;;1;8;
1;Allison, Miss Helen Loraine;Miss;Female;2;Montreal, Quebec, Canada;Southampton;;Montreal, Quebec, Canada;;;0;;
1;Allison, Master Hudson Trevor;Master;Male;0,9;Montreal, Quebec, Canada;Southampton;;Montreal, Quebec, Canada;;;1;11;
1;and nurse, Miss Alice Catherine Cleaver;Miss;Female;22;London, England, UK;Southampton;;Montreal, Quebec, Canada;;;1;11;
1;Anderson, Mr. Harry;Mr;Male;47;New York, New York, US;Southampton;;New York, New York, US;;;1;3;
1;Andrews, Miss Kornelia Theodosia;Miss;Female;62;Hudson, New York, US;Cherbourg;;Hudson, New York, US;;;1;10;
1;Andrews, Mr. Thomas[56];Mr;Male;39;Belfast, Ireland, UK;Belfast;;New York, New York, US;Shipbuilder;Guarantee group;0;;
1;Appleton, Mrs. Charlotte Lane (née Lamson);Mr;Female;53;New York, New York, US;Southampton;;New York, New York, US;;;1;2;
1;Artagaveytia, Mr. Ramon;Mr;Male;71;Buenos Aires, Argentina;Cherbourg;;New York, New York, US;;;0;;22MB
